chunk_id,text,grade,subject,concept_id
C11,"1 1 Raman ate 7 pieces of , Radhika ate 6 pieces of , Maa ate 8 pieces of 4 4 1 1 1 , Dadiji ate 10 pieces of , and Baba ate 12 pieces of paratha. Use a 4 4 4 number line to find out how many parathas were eaten by each of them. Quantity of Raman’s paratha 0 1 Quantity of Radhika’s paratha 0 1 Quantity of Maa’s paratha 0 1 Quantity of Dadiji’s paratha 0 1 Quantity of Baba’s paratha 0 1 How many parathas were made on this day? Find out. Raman’s family of 6 members ordered 2 pizzas and cut each pizza into 3 equal slices so that each family member had one slice. Dadiji and Dadaji gave their slices to Raman, Maa, and Baba gave theirs to Radhika. How much pizza do each of them have after this? 1 1 1 3 + + = = 1 3 3 3 3 Raman’s slice Raman’s total share Raman’s total share — whole pizza 1 2 3 0 =1 3 3 3 27 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 2277 77//22//22002255 33::3300::3322 PPMM",4,Math,M406
C12,"Raman could eat only 2 slices of pizza. So, he gave 1 to Radhika. How much pizza does Radhika have now? Radhika’s slice Radhika’s total share 1 1 1 1 4 1 1 + + + = = 1+ = 1 3 3 3 3 3 3 3 1 1 2 3 4 0 =1 3 3 3 3 Let Us Do 1. Use parathas and number lines to show the following fractions in your notebook. 2 5 3 5 4 9 (a) and (b) and (c) and 3 3 4 4 8 8 2. Circle the fractions that are greater than one (whole). How do you know? Discuss your reasoning in the class. 3 7 9 9 9 7 9 4 4 4 11 2 9 5 5 7 7 5 3 4 2 13 12 12 3 11 5 8 28 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 2288 77//22//22002255 33::3300::3322 PPMM",4,Math,M408
C13,"Comparing Fractions With Reference to 1 (a whole) Let us compare some more fractions. Between Sevi and Shami can you tell who ate less? 8 I ate paratha 7 I ate paratha 6 8 yesterday evening. yesterday evening. 6 6 6 1 6 1 6 7 8 is less than 1 and is 1 1 1 8 6 7 8 more than 1. So, < . 1 1 8 6 6 6 1 6 Let Us Do 1. Compare the following fractions using 1 as a reference. Share your reasoning in the class. 8 9 13 17 7 8 (a) ______ (b) ______ (c) ______ 7 15 20 15 6 8 6 19 12 4 15 16 (d) ______ (e) ______ (f) ______ 6 12 9 5 5 4 1 Comparing Fractions with Reference to 2 8 6 1 1 8 1 16 1 1 8 1 8 6 4 1 3 1 = = 8 2 6 2 29 Reprint 2026-27 CChhaapptteerr 22..iinndddd 2299 22//2244//22002266 44::1155::0066 PPMM",4,Math,M406
C14,"Let Us Do 1 1. Circle the fractions below that are equal to . 2 2 5 8 7 4 5 10 16 3 7 14 5 6 6 10 5 12 8 20 9 2. Some fractions are written in the box below. Circle the fractions that are less than half. How do you know? Discuss your reasoning in the class. 2 11 12 3 3 4 8 12 15 15 9 15 1 7 6 4 11 15 3 11 18 8 16 31 1 Now let us compare fractions using . 2 I ate 5 paratha I ate 3 paratha 8 6 yesterday evening yesterday evening Who do you think ate more paratha? 8 6 1 1 8 3 5 1 is half. But 6 8 1 6 1 is more than . 1 2 8 1 1 1 So, 5 > 3 . 6 8 6 8 8 30 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 3300 77//22//22002255 33::3300::3333 PPMM",4,Math,M406
C15,"3. Compare the following fractions. Where possible, compare the fractions 1 with . 2 2 4 11 7 5 3 6 4 and and and and 9 7 14 20 7 9 7 10 9 3 7 3 1 5 3 4 and and and and 17 15 12 11 3 9 9 7 Try This 2. Some fractions are written in the box below. Circle the fractions that are 1 less than half. How do you know? Discuss your reasoning in the class. If the length of an ant is cm — then what is the total length of 16 such 4 ants walking in a line? Use the number line given below. 0 1 cm 4 Fun with Relations If the only brother of your father’s sister had a child, what would be the child’s relationship with you? 31 Reprint 2026-27 CChhaapptteerr 22..iinndddd 3311 0033--0033--22002266 1166::5544::4444",4,Math,M408
C16,"Chapter SShhaappeess AArroouunndd UUss 1 Diksha wanted to go to a big city during her summer holidays. Her father took her to Delhi and they visited many old and new interesting monuments like the India Gate, Qutub Minar, Safdarjung Tomb, Akshardham, the National Museum, Jantar Mantar and Sansad Bhawan. Now she is trying to make a model of India Gate using her wooden blocks. Try to make a model of the buildings shown here using blocks. 1. What parts of the building have you shown in your model (for example, roof, pillars, base, etc.)? 2. Why did you select these parts? 3. What shapes will model these parts well?______________ 4. How is your model similar to the picture of the real building? __________________ 5. How is it different from the real building? ______________ Discussion: What would happen if you removed one piece of your model? • Would the model still look like the original building? • In what ways could you make the model even better? Reprint 2026-27 CChhaapptteerr 11..iinndddd 11 33//2266//22002255 33::4400::3344 PPMM",3,Math,M309
C17,"Project Work Encourage learners to observe a street carefully and make a model showing the main buildings on the street. I have made something. Look at my Qutub Minar. Do you think it looks like the Qutub Minar?................... What shape would you use if you made a model of the Qutub Minar? Why?...............……………………………. How many such shapes will you use? ............................ Do you know: The Qutub Minar is a World Heritage site and the tallest building made up of bricks. It has 5 storeys and 379 stairs. Earlier, people made buildings with clay bricks, stone blocks or wood. Today we also use concrete blocks, hollow blocks, etc. What is common to all of these bricks? ……….. Note for Teachers: Ask learners to collect different boxes, bottles, cans, coconut shells, etc., to model the given buildings. 2 Reprint 2026-27 CChhaapptteerr 11..iinndddd 22 22//1111//22002266 44::4488::3388 PPMM",3,Math,M309
C18,"Craft 1. Make a sphere-like shape with paper strips. Diksha has folded open and flattened a box to see what an open box looks like. This is called the net of the box. If you fold along the dotted lines, you will get the box back. 2. Use the nets given at the end of the book to Net of a box make the models shown below. Prisms Pyramids Triangular Triangular Prism Pyramid Pentagonal Pyramid Square Pyramid Hexagonal Square Prism Prism What shape of face is common to What shape of face is common to all the prisms? _________________ all the pyramids? _______________ What other shapes do these All the triangular faces meet at prisms have? _________________ _________________ point. How many such faces each? Identify any other shape in each _________________ of the pyramids _________________ Is a cube also a prism? What is the difference between a prism and a pyramid? Discuss. 3 Reprint 2026-27 CChhaapptteerr 11..iinndddd 33 33//2266//22002255 33::4400::3377 PPMM",3,Math,M309
C19,"3. Now try to make the above shapes using straws and plasticine/ thread and fill in the table. Number of Number of Number of Shapes faces (F) corners (V) edges (E) Cube/Square Prism Cuboid/Rectangular Prism Triangular Pyramid Square Pyramid Triangular Prism Identify any relationship that you may find between the number of faces (F), edges (E), and corners (V). Calculate F+V–E in each case. What do you notice? Sort 3D shapes by the number of flat faces. Write their names here. Number of 1 flat 2 flat 4 flat 5 flat 6 flat 8 flat faces face faces faces faces faces faces Name of the shape Can you construct a 3D shape with 3 flat faces? Now sort 3D shapes by the number of straight edges. Write their names here. Number of 6 straight 8 straight 9 straight edges 12 straight edges edges edges edges Name of the shape 4 Reprint 2026-27 CChhaapptteerr 11..iinndddd 44 0033--0044--22002255 44..2222..5533 PPMM",3,Math,M310
C20,Let Us Observe 1. Take a die. Look at the face that has number 1. The face numbered 6 is opposite to the face numbered 1. What is the face opposite to the a) face numbered 2? …..… b) face numbered 3? …….. c) face numbered 4? …….. 2. a) Which faces have common edges with the face numbered 1? ............................ b) Which face has no common edge with the face numbered 1? ........................... 3. Look at three different views of the same cube. a) What colour is the face that is opposite to the red face? …………................ b) What colour is the face that is opposite to the yellow face? .......................………….. Follow these instructions for the shapes along the border. 1. Colour all shapes with a rectangular face in red. 2. Draw a smiley on shapes with a triangular face. 3. Draw a star on shapes with a curved face. 4. Colour all shapes with no corner in blue. 5. Circle the shapes that have the same opposite faces. 5 Reprint 2026-27 CChhaapptteerr 11..iinndddd 55 33//2266//22002255 33::4400::3399 PPMM,3,Math,M310
C21,Sorting 3D Shapes Write the names of 3D shapes in the correct places. (1) All faces look All faces the same do not look the same A B (2) Shapes with Shapes with straight curved edges edges A B (3) Shapes with Shapes with triangular rectangular faces faces A B Shapes with both rectangular and triangular faces 6 Reprint 2026-27 CChhaapptteerr 11..iinndddd 66 33//2266//22002255 33::4400::3399 PPMM,3,Math,M309
C22,"In which circle did you write triangular prism and rectangular pyramid? Let us sort shapes in another way. Using circles like those on the previous page, can you sort shapes into the categories “Shapes with curved faces” and “Shapes with flat faces”? Build with Cubes Build these models with the cubes from the Jaadui Pitara Kit or any other similar material. A. B. C. D. Cube Towers How many cubes are there in each of these cube towers? Note for Teachers: Use the available wooden, paper, and straw models. Discuss adjacent and opposite faces. Discuss shapes that fall into two sets. Let them make Venn diagrams (using circles like above) and write the names of these shapes. 7 Reprint 2026-27 CChhaapptteerr 11..iinndddd 77 33//2266//22002255 33::4400::4400 PPMM",3,Math,M309
C23,"Drawing Cubes on a Triangular Dot Paper Can you complete the following cubes? 1. Match the pictures to the descriptions and name the shapes. a) I have 5 faces and 5 corners. I have 8 edges. 1 of my faces is a square and 4 of my faces are triangles..…………. b) I have 1 flat face, 1 curved face, and 1 edge.…………. c) I have 1 curved face. I have no edges or corners.……. d) I have 2 flat faces, 1 curved face, and 2 edges. I have no corners.…………. e) I have 5 faces, 6 corners, and 9 edges, and 2 of my faces are triangles.…………. f) I have 6 faces, 12 edges, and 8 corners.…………. 2. Each one is different. How? Discuss. 8 Reprint 2026-27 CChhaapptteerr 11..iinndddd 88 33//2266//22002255 33::4400::4411 PPMM",3,Math,M310
C24,3. Match the following nets to the appropriate solids given below. (1) (2) (3) (4) (a) (b) (c) (d) 4. Which of these nets can be folded to make a solid of the kind given below? A. B. C. D. 5. Nitesh cuts up a net on the folds. Here are its pieces. Which solid has the above pieces in its net? a. b. c. d. 9 Reprint 2026-27 CChhaapptteerr 11..iinndddd 99 33//2266//22002255 33::4400::4444 PPMM,3,Math,M309
C25,WWhheenn LLiinneess MMeeeett Isha made different corners with straws. We can say that the two straws are like two lines that meet at a point. When two lines meet they create an angle. We see many angles in yoga postures. There are 7 angles in this house How many angles are there in this drawing. boat drawing? Let Us Do 1. Mark the angles in the following pictures. a) b) c) e) d) 10 Reprint 2026-27 CChhaapptteerr 11..iinndddd 1100 0033--0044--22002255 44..2233..2288 PPMM,4,Math,M411
C26,"2. Where do you see angles in the classroom? Give a few examples. ____________________________________________________________________ ____________________________________________________________________ ____________________________________________________________________ RRiigghhtt AAnngglleess Let’s make a right angle with a piece of paper as shown. Identify the angles that you think are right angles and circle them in the dot grid given below. Check using your right angle checker. Check for right angles in a book, window, and any other object. Write the names of objects where you find right angles. ____________________________________________________________________ ____________________________________________________________________ ____________________________________________________________________ 11 Reprint 2026-27 CChhaapptteerr 11..iinndddd 1111 33//2266//22002255 33::4400::4488 PPMM",4,Math,M411
C27,Let Us Do 1. Draw some right angles on the dot grid. AAccuuttee aanndd OObbttuussee AAnngglleess Acute angles are less than a right Obtuse angles are more than a angle. right angle. Name some objects from your classroom which have an acute angle. ________________________________________________________. Name some objects from your classroom which have an obtuse angle. ________________________________________________________. Identify all angles in the following letters. 12 Reprint 2026-27 CChhaapptteerr 11..iinndddd 1122 33//2266//22002255 33::4400::4488 PPMM,4,Math,M411
C28,"Let Us Do 1. Draw some acute angles on the Draw some obtuse angles on top grid. Draw a line to make the top grid. Draw a line to an acute angle using each given make an obtuse angle using line in the bottom grid. each given line in the bottom grid. 2. In the figures given below, mark the acute angles in red, right angles in green, and obtuse angles in blue. 13 Reprint 2026-27 CChhaapptteerr 11..iinndddd 1133 33//2266//22002255 33::4400::4488 PPMM",4,Math,M411
C29,"Shapes with Straws Make a triangle with straws of different sizes and clay/ plasticine. Does the shape of the triangle change if we gently push one of its sides? Yes/No Trace the triangles you made with the straws in your notebook. What kinds of angles does a triangle have? Make a rectangular shape with straws and clay. What kinds of angles do you see in the rectangle?.................. Does the shape of the rectangle change if we gently push one of its sides? Yes/No What has happened to the angles of the new shape? Are they still right angles? What types of angles have been formed? Similarly, push one side of a square. Are they still right angles? What types of angles have been formed? How are the angles of triangles and rectangles similar or different? Note for Teachers: Help children to understand the rigidity of different shapes. The triangle is the most rigid shape, as it does not change its shape when pushed. 14 Reprint 2026-27 CChhaapptteerr 11..iinndddd 1144 22//1111//22002266 44::4499::2222 PPMM",4,Math,M411
C30,"Use the dot grid given below to draw several three- and four-sided shapes. Circle the shapes that have one or more right angles. Discuss: What shapes did you make? How many shapes have you made with a) 1 right angle b) 2 right angles c) 3 right angles d) all right angles Here are some 4-sided shapes. In what ways are rectangle and square different from these shapes? Note for Teachers: Discuss similarities and differences between a square and a rectangle. Provide experiences to observe squares as a special case of rectangles. Teachers can also provide more dot grids, if required. 15 Reprint 2026-27 CChhaapptteerr 11..iinndddd 1155 33//2266//22002255 33::4400::5500 PPMM",4,Math,M411
C31,Try to make this 5-sided shape with all sides equal (Pentagon) Are these right angles? Does the shape of the pentagon change if we gently push one of its sides. Yes/No How does this change the angles? Can you make a circle using straws? Look at the picture. The lengths of the straws in this picture are ……………. (Equal/Unequal) What will happen if we take straws of unequal lengths? Let Us Make Can you use a scale to draw a circular shape? Let us see. Mark a point A. Draw many points that are at an A equal distance from point A. Connect the dots freehand. What do you get? ................ The point A is the centre and the line from the centre to the border of the circle is the radius. 16 Reprint 2026-27 CChhaapptteerr 11..iinndddd 1166 33//2266//22002255 33::4400::5522 PPMM,4,Math,M411
C32,"Amazing Circles a) Take a piece of circular paper. b) Fold your paper in half and crease it well. c) Open the fold and measure the length of the crease using a thread. d) Fold your paper in half in a different way and crease it well. e) Open the fold and measure the length of the crease again. f) Fold it again in half in a different way and crease it well. g) Open the fold, measure the length of the crease. 1. The length of all the creases are ___________. (Equal/Unequal) 2. These creases are called diameters of the circle. 3. Discuss where the centre is. Do you notice that all the diameters pass through the centre? 4. Measure the length of the creases from the center to the border of the circle. This is called the radius of the circle. 5. Discuss if there is any relationship between the radius and the diameter of a circle. Note for Teachers: Children can measure the length using a paper strip or thread or scale. 17 Reprint 2026-27 CChhaapptteerr 11..iinndddd 1177 33//2266//22002255 33::4400::5533 PPMM",3,Math,M309
C33,"Diameter Let Us Do Fold the circular paper in half. Fold this half again in half. Radius The length of the diameter is ___________ (half/double) of the length of radius. A circle can be made easily using a compass. Ask your teacher to help you use a compass. Make the following design. Step. 1 Step. 2 Step. 3 Look at the carpet design. A beautiful circle, right? Mark the centre, radius, and the diameter of the circular design with any colour of your choice. Note for Teachers: Help children to draw circles using a compass. Encourage learners to draw different-sized circles. 18 Reprint 2026-27 CChhaapptteerr 11..iinndddd 1188 33//2266//22002255 33::4400::5555 PPMM",3,Math,M309
C34,Look at the wheels. All wheels look like …………… A Name the wheel with the B 1. longest radius ……................ 2. shortest radius ……................ 3. longest diameter ……................ 4. shortest diameter ……................ C D Puzzling Shapes 1. Identify the hidden shapes and write their names. 2. Draw 2 lines to divide the triangle into 1 square and 2 triangles. 3. Draw 2 lines to divide the square into 3 triangles. 19 Reprint 2026-27 CChhaapptteerr 11..iinndddd 1199 33//2266//22002255 33::4400::5555 PPMM,3,Math,M309
C35,4. Draw lines to show the cuts needed on the shapes in the left column to get the smaller shapes on the right. (A) (B) (C) Card Game Sort the 2D-shape cards given at the end of the book into three groups according to their sides. Draw the sorted shapes in the space given below. Explain why you sorted your shapes in this way. Group 1 Group 2 Group 3 20 Reprint 2026-27 CChhaapptteerr 11..iinndddd 2200 33//2266//22002255 33::4400::5555 PPMM,3,Math,M310
C36,"Let Us Try 1. Squiggly spiders Squiggly, the spider, likes to make webs in different shapes. One day she begins to make triangular webs. How many triangles are in her web? She likes to take a walk each morning and check if the walls of her web are strong. Can she begin at point A and reach back to the same point without walking on any wall more than once? Trace and show Squiggly’s path. A Her brother, Wiggly made a web using A rectangles. How many rectangles can you see in his web? He likes to take a walk at the end of each day and check if the walls of his web are strong. Can he begin at point A and leave from point B without walking on any wall more than once? Trace and show Wiggly’s path. B 2. Use 5 matchsticks to make 2 triangles. Then draw it in the space provided. 21 Reprint 2026-27 CChhaapptteerr 11..iinndddd 2211 33//2266//22002255 33::4400::5566 PPMM",3,Math,M310
C37,3. Move two of these matchsticks to form 4 triangles. 4. Remove 4 of these matchsticks to leave only 3 triangles. 5. Model challenge. Can you make a model of solid shapes which has a) 12 straws and 8 clay balls? b) 9 straws and 6 clay balls? c) 15 straws and 10 clay balls? d) 10 straws and 6 clay balls? 6. Classify these shapes based on the number of angles. a b c d e f g 3 angles 4 angles 5 angles What relation do you notice between the number of sides and the number of angles? 22 Reprint 2026-27 CChhaapptteerr 11..iinndddd 2222 33//2266//22002255 33::4400::5566 PPMM,3,Math,M310
C38,"7. Draw a 2D shape that has Draw a 2D shape with more than less than 5 angles. 5 angles. 8. Mark the right angles and write the number of right angles in each figure. Which of the above shapes have only right angles? 9. Observe the following shapes. Identify the shape that has: ● 2 right angles, 1 acute, and 1 obtuse angle . ● 1 right, 2 obtuse, and 1 acute angle . ● 2 obtuse, and 2 acute angles . ● 4 right angles . 23 Reprint 2026-27 CChhaapptteerr 11..iinndddd 2233 33//2266//22002255 33::4400::5577 PPMM",4,Math,M411
C39,Chapter TTiicckkiinngg CClloocckkss aanndd 12 TTuurrnniinngg CCaalleennddaarr Parv is celebrating his birthday with his friends. Let us join them. I was born on 29 February 2016. Years having the date 29 February are called leap years. Such years have one additional day in the year and occur every four years. Let Us Do 1. Notice the number of days in February in the years 2024 and 2025. FEB 2024 FEB 2025 Sun Mon Tue Wed Thu Fri Sat Sun Mon Tue Wed Thu Fri Sat 1 2 3 1 4 5 6 7 8 9 10 2 3 4 5 6 7 8 11 12 13 14 15 16 17 9 10 11 12 13 14 15 18 19 20 21 22 23 24 16 17 18 19 20 21 22 25 26 27 28 29 23 24 25 26 27 28 Number of days in Feb 2024 = _____________ Number of days in Feb 2025 = _____________ Reprint 2026-27 CChhaapptteerr 1122..iinndddd 117755 1122--MMaarr--2266 33::0077::3355 PPMM,4,Math,M414
C40,"2. Fill in the blanks with consecutive leap years before and after 2024. ________, ________, 2024, ________, ________, ________ 3. We know that most years have 365 days. How many days would a leap year have? 4. Write the names of the months when you celebrate your favourite festivals. Name of the Festival Name of the Month 5. Answer the following questions by writing the appropriate days of the week: a) Today: _______________ b) Yesterday: _______________ c) Tomorrow: _______________ d) Day after tomorrow: _______________ e) Day before yesterday: ________________ 6. July 1 is a Monday. Write the dates for the next two Mondays. ___________________________________________ 7. Laali is born on 04/07/2014 and Chotu is Do You Know? born on 04/12/2019. Who is older among the 04/07/2024 is a date in two and how much? DD/MM/YYYY format. And this is read as Laali will turn 5 years old on ______________. 4th of July 2024 or July 4, 2024. Chotu’s 10th birthday will be celebrated on ________________. 176 Reprint 2026-27 CChhaapptteerr 1122..iinndddd 117766 33//2266//22002255 44::1166::5522 PPMM",4,Math,M414
C41,"8. Check the manufacturing and expiry dates on the wrapper of any biscuit packet. a) How old is the packet of biscuits? Answer: ____ months ____ days. b) How many more days are the biscuits safe to eat? Answer: ____ months ____ days. 9. Notice the day on which July 15 falls in your calendar. Now find out what day is August 15? September 15? October 15? What pattern do you notice? Share in grade. Now choose a date and look up the day on which it falls. Challenge your friends to guess what day will the same date fall in the following month. Let Us Explore With the help of your parents and teachers, explore the names of the months in the Hindu/Islamic/Sikh or any other calendar of your community. 1. Find out when the year begins in each of these calendars. 2. Check how the names of the months in these calenders correspond to the months in the English calendar. 3. Identify the months from the Hindu/Islamic/Sikh or any other calendar in which some of the important festivals of the community fall. 4. Identify the dates of the new moon and full moon in your community’s calendar every month. Do you notice any pattern? 5. How are the full moon or new moon days named in your community’s calendar? Note for Teacher: Students may be asked to collect wrappers of different items and make a table of expiry periods for them. 177 Reprint 2026-27 CChhaapptteerr 1122..iinndddd 117777 33//2266//22002255 44::1166::5522 PPMM",4,Math,M414
